zone,state,lga,ea,hhid,indiv,NEWMEMBER,s1q4,s1q2,s1q3,s1q3_os,s1q6,s1q8,s1q9,s1q10,s1q11,s1q12,s1q13,s1q14,s1q15,s1q15a,s1q16,s1q17,s1q18,s1q19_1,s1q19_2,s1q19_3,s1q19_4,s1q19a,s1q19b,s1q19c,s1q19d,s1q20,s1q21,s1q22a,s1q22b,s1q23,s1q23_os,s1q24,s1q25,s1q26,s1q27,s1q28,s1q29,s1q29b,s1q30,s1q31,s1q32,s1q33,s1q34,s1q34_os,s1q34b,s1q35,s1q36,s1q36_os,s1q37,s1q38,s1q39,s1q39_os,s1q39a,s1q39b,s1q39c,s1q39d,s1q39e,s1q39f,s1q39g,s1q39h,s1q39i__1,s1q39i__2,s1q39i__3,s1q39i__4,s1q39i__5,s1q39i__6,s1q39i__7,s1q39i__8,s1q39i__9,s1q39i__10,s1q39i__11,s1q39i__12,s1q39i__13,s1q39i__14,s1q39i__96,s1q39i_os,s1q39j,s1q39k__1,s1q39k__2,s1q39k__3,s1q39k__4,s1q39k__5,s1q39k__6,s1q39k__7,s1q39k__8,s1q39k__9,s1q39k__10,s1q39k__11,s1q39k__12,s1q39k__13,s1q39k__14,s1q39k__96,s1q39k_os,s1q40a,s1q40b,s1q40c,s1q40d,s1q41,s1q42a,s1q44,months_left,s1q45,s1q45_os
2. North East,2. Adamawa,207. HONG,1302,20100,9,0,1. YES,1. MALE,3. OWN CHILD,,20,2. NO,,,2003,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,10,0,1. YES,1. MALE,3. OWN CHILD,,15,2. NO,,,2008,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,11,0,1. YES,2. FEMALE,3. OWN CHILD,,17,2. NO,,,2006,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,12,0,1. YES,1. MALE,3. OWN CHILD,,14,2. NO,,,2009,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,13,0,1. YES,1. MALE,3. OWN CHILD,,12,2. NO,,,2011,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,14,0,1. YES,2. FEMALE,3. OWN CHILD,,36,2. NO,,,1987,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,6. WIDOWED,28,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,1. YES,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",,99. DON'T KNOW,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,501,0,1. YES,1. MALE,6. GRANDCHILD,,14,2. NO,,,2009,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,422. UNIVERSITY- 400 LEVEL,96. OTHER (SPECIFY),,1. YES,14,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,701,0,1. YES,2. FEMALE,3. OWN CHILD,,44,2. NO,,,1979,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,6. WIDOWED,22,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,2. NO,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,702,0,1. YES,2. FEMALE,6. GRANDCHILD,,27,2. NO,,,1996,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,31. TEACHER CERTIFICATE GRADE II (TCGDII),11. EDUCATION,,1. YES,701,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,703,0,1. YES,1. MALE,6. GRANDCHILD,,22,2. NO,,,2001,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,31. TEACHER CERTIFICATE GRADE II (TCGDII),11. EDUCATION,,1. YES,701,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1301,0,1. YES,1. MALE,6. GRANDCHILD,,12,2. NO,,,2011,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,1. YES,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1401,0,1. YES,1. MALE,3. OWN CHILD,,42,2. NO,,,1981,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),28,1. YES,1402,,,,2013,,,,2. NO,,,,,,,1. YES,1,,,,,2. NO,,2. NO,26. SS3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1402,0,1. YES,2. FEMALE,9. BROTHER/SISTER-IN-LAW,,29,2. NO,,,1994,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),22,1. YES,1401,,,,2013,,,,2. NO,,,,,,,2. NO,,1. YES,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1403,0,1. YES,2. FEMALE,6. GRANDCHILD,,9,2. NO,,,2014,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1401,,,,,1. YES,1402,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1404,0,1. YES,2. FEMALE,6. GRANDCHILD,,8,2. NO,,,2015,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1401,,,,,1. YES,1402,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,207. HONG,1302,20100,1801,0,1. YES,1. MALE,6. GRANDCHILD,,5,2. NO,,2. FEB,2018,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1401,,,,,1. YES,1402,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20101,1,0,1. YES,1. MALE,1. HEAD,,93,2. NO,,,1930,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,4. DIVORCED,18,,,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20101,2,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. FOR MARRIAGE/ COHABITATION,,,0. NONE,0. NONE,,,,1. YES,14000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2. NO,,,,,,,,,,,,,,,,,2. FEB,2021,,,1. INSIDE NIGERIA,210. MADAGALI,,30,4. RECEIVED ASSISTANCE FROM FRIENDS &amp; FAMILY,
2. North East,2. Adamawa,205. GOMBI,712,20101,5,0,1. YES,2. FEMALE,3. OWN CHILD,,30,2. NO,,,1992,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20101,301,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11. DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. SEP,2020,,,,1485,,
2. North East,2. Adamawa,205. GOMBI,712,20101,302,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11. DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. AUG,2020,,,,1485,,
2. North East,2. Adamawa,205. GOMBI,712,20101,401,0,1. YES,2. FEMALE,8. NIECE/NEPHEW,,30,2. NO,,,1992,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20101,402,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11. DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. SEP,2019,,,,1485,,
2. North East,2. Adamawa,205. GOMBI,712,20102,1,0,1. YES,1. MALE,1. HEAD,,72,2. NO,,,1951,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),20,1. YES,2,,,,1988,,,,2. NO,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,19. NEVER WORKED,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,2,0,1. YES,2. FEMALE,2. SPOUSE,,61,2. NO,,,1962,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,0. NONE,19. NEVER WORKED,,2. IN ANOTHER STATE IN NIGERIA,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,7,0,1. YES,1. MALE,3. OWN CHILD,,34,2. NO,,,1988,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,8,0,1. YES,2. FEMALE,2. SPOUSE,,51,2. NO,,,1972,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,11,0,1. YES,1. MALE,3. OWN CHILD,,20,2. NO,,,2003,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,14,0,1. YES,1. MALE,3. OWN CHILD,,16,2. NO,,,2007,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,16,0,1. YES,1. MALE,3. OWN CHILD,,12,2. NO,,,2011,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20102,17,0,1. YES,2. FEMALE,3. OWN CHILD,,9,2. NO,,,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,1,0,1. YES,1. MALE,1. HEAD,,57,2. NO,,,1966,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),23,1. YES,2,,,,1993,,,,2. NO,,,,,,,2. NO,,2. NO,0. NONE,96. OTHER (SPECIFY),,2. NO,,2. NO,0. NONE,19. NEVER WORKED,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,2,0,1. YES,2. FEMALE,2. SPOUSE,,55,2. NO,,,1967,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,3,0,1. YES,1. MALE,3. OWN CHILD,,33,2. NO,,,1990,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,5,0,1. YES,1. MALE,3. OWN CHILD,,27,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,1996,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,7,0,1. YES,2. FEMALE,3. OWN CHILD,,20,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2003,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20103,8,0,1. YES,1. MALE,3. OWN CHILD,,8,2. NO,,,2015,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,1,0,1. YES,1. MALE,1. HEAD,,56,2. NO,,,1967,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),26,1. YES,2,,,,1998,,,,2. NO,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,2,0,1. YES,2. FEMALE,2. SPOUSE,,45,2. NO,,,1978,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,3,0,1. YES,1. MALE,3. OWN CHILD,,22,2. NO,,,2001,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,4,0,1. YES,1. MALE,3. OWN CHILD,,18,2. NO,,,2005,2. NO,1. YES,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,5,0,1. YES,1. MALE,3. OWN CHILD,,16,2. NO,,,2007,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,6,0,1. YES,1. MALE,3. OWN CHILD,,14,2. NO,,,2009,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,7,0,1. YES,1. MALE,3. OWN CHILD,,12,2. NO,,,2011,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,8,0,1. YES,2. FEMALE,3. OWN CHILD,,10,2. NO,,,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,9,0,1. YES,1. MALE,3. OWN CHILD,,7,2. NO,,,2016,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,401,0,1. YES,2. FEMALE,3. OWN CHILD,,5,2. NO,,4. APR,2018,2. NO,2. NO,1. YES,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20104,601,0,1. YES,1. MALE,3. OWN CHILD,,10,2. NO,,,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20106,2,0,1. YES,2. FEMALE,1. HEAD,,49,2. NO,,,1974,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,6. WIDOWED,20,,,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,1. YES,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20106,4,0,1. YES,1. MALE,3. OWN CHILD,,31,2. NO,,,1992,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,43. HIGHER DEGREE,11. EDUCATION,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20106,5,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. FOR MARRIAGE/ COHABITATION,,,41. POLY/PROF,41. POLY/PROF,,,,2. NO,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,6. JUN,2019,,,1. INSIDE NIGERIA,205. GOMBI,,50,3. SALE OF OTHER PROPERTY,
2. North East,2. Adamawa,205. GOMBI,712,20106,6,0,1. YES,2. FEMALE,3. OWN CHILD,,18,2. NO,,,2005,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,43. HIGHER DEGREE,11. EDUCATION,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20106,7,0,1. YES,1. MALE,3. OWN CHILD,,17,2. NO,,,2006,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,43. HIGHER DEGREE,11. EDUCATION,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. North East,2. Adamawa,205. GOMBI,712,20106,8,0,1. YES,1. MALE,3. OWN CHILD,,27,2. NO,,,1996,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,2. NO,43. HIGHER DEGREE,11. EDUCATION,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
