zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,2,1. YES,1. YES,1. YES,1. PERMANENTLY,2. START UP A NEW BUSINESS,1. FIND BETTER JOBS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,3. Akwa Ibom,312. IKONO,2. RURAL,0,90007,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90009,1,1. YES,1. YES,1. YES,2. TEMPORARILY,3. NO ACCESS TO AGRICULTURAL LANDS HERE,,,Moving to a rural area,,,,AFFORDABLE TO TRAVEL TO THE DESTINATION,EASIER TO FIND A JOB,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90009,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90009,6,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90010,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90010,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90010,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90010,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. URBAN,278,90010,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90021,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90022,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90025,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90025,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90025,101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90027,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90027,3,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90027,5,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90028,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90028,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90028,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90028,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90029,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90029,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90029,101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90029,701,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,915. ODUKPANI,1. URBAN,1390,90030,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90041,10,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90041,11,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90041,5101,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,1. YES,2023,2. GENERAL LACK OF MONEY/POOR HOUSEHOLD ECONOMIC CONDITIONS,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90041,5102,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to a town/city - same State,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,,,,1. YES,2022,2. GENERAL LACK OF MONEY/POOR HOUSEHOLD ECONOMIC CONDITIONS,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90042,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90043,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90043,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90043,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90043,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,0,90043,7,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,1302,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,1501,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,2101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90044,5102,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90046,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90046,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90047,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90047,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90047,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90048,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90048,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90048,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,901. ABI,2. RURAL,398,90048,5102,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90091,6,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,4,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,7,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,9,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,10,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,11,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,1301,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90092,5102,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,6,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,7,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,5102,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90093,5103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90094,2,1. YES,1. YES,1. YES,2. TEMPORARILY,2. START UP A NEW BUSINESS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90094,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90094,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90095,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90095,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90095,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90096,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90096,8,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90096,9,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90096,11,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90096,1801,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90097,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90097,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90097,9,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90097,10,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90097,11,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,0,90098,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,0,90098,5101,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to a town/city - another State,,,,EASIER TO FIND A JOB,EASY/SAFE ROUTE TO GET THERE,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,1. YES,2015,2. GENERAL LACK OF MONEY/POOR HOUSEHOLD ECONOMIC CONDITIONS,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90099,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,918. YALA,2. RURAL,834,90100,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99001,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99001,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99002,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99003,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99003,5101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99003,5102,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99003,5103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99003,5104,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99004,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99004,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99004,3,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99004,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,905. BEKWARRA,2. RURAL,2128,99004,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,6,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,1001,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,1301,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,1302,1. YES,1. YES,1. YES,2. TEMPORARILY,"11. HUMAN-MADE DISASTER (E.G. FIRE, CHEMICAL OR NUCLEAR DISASTER)",,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,1401,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,1402,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,2. RURAL,0,99005,5101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,901,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. RURAL,0,99006,2101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
