CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH15,CH16,NIVEL_ED,edad2,CAT_OCUP,INTENSI,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,PP04A,PP04B1,PP04B2,PP04C,PP04G,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,AGLOMERADO,informal
1.0,1.0,41.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,1681.0,2.0,2.0,1.0,0.0,44.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,43.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1849.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,1.0,34.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1156.0,2.0,3.0,1.0,0.0,72.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,32.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,4.0,1024.0,2.0,3.0,1.0,0.0,72.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,65.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,4225.0,3.0,3.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
3.0,1.0,38.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1444.0,3.0,3.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,1.0,21.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,441.0,3.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,5.0,8.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,1.0,42.0,5.0,1.0,1.0,2.0,0.0,7.0,1.0,5.0,1.0,6.0,1764.0,3.0,2.0,2.0,2.0,35.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,8.0,11.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,65.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,4225.0,2.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,1.0,61.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,4.0,3721.0,3.0,2.0,1.0,0.0,25.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
