ANO4,CH03,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,PP07H,P21,PP3E_TOT,PONDERA,IPCF
2005.0,2.0,2.0,34.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,1600.0,40.0,1097.0,878.3333333333334
2005.0,3.0,2.0,3.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1097.0,878.3333333333334
2005.0,1.0,1.0,44.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,700.0,60.0,1373.0,362.5
2005.0,2.0,2.0,41.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,750.0,25.0,1373.0,362.5
2005.0,3.0,1.0,8.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1373.0,362.5
2005.0,3.0,2.0,3.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1373.0,362.5
2005.0,1.0,2.0,82.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1346.0,440.0
2005.0,1.0,1.0,75.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1452.0,297.5
2005.0,2.0,2.0,64.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1452.0,297.5
2005.0,1.0,2.0,85.0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1529.0,330.0
2005.0,1.0,1.0,38.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,1200.0,40.0,1233.0,500.0
2005.0,2.0,2.0,39.0,2.0,1.0,6.0,1.0,3.0,0.0,1.0,300.0,15.0,1233.0,500.0
2005.0,3.0,2.0,6.0,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1233.0,500.0
2005.0,1.0,2.0,72.0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1316.0,336.0
2005.0,1.0,1.0,83.0,2.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1488.0,1740.0
2005.0,2.0,2.0,82.0,2.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1488.0,1740.0
2005.0,1.0,1.0,65.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,600.0,40.0,1298.0,566.6666666666666
2005.0,2.0,2.0,59.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1298.0,566.6666666666666
2005.0,3.0,1.0,33.0,5.0,1.0,6.0,1.0,3.0,0.0,1.0,1100.0,46.0,1298.0,566.6666666666666
2005.0,1.0,2.0,29.0,5.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1074.0,170.0
2005.0,1.0,1.0,64.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,900.0,40.0,1223.0,1275.0
2005.0,2.0,2.0,55.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,800.0,40.0,1223.0,1275.0
2005.0,1.0,1.0,56.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,850.0,58.0,1241.0,1050.0
2005.0,1.0,1.0,64.0,2.0,4.0,4.0,1.0,3.0,0.0,1.0,1200.0,40.0,1321.0,900.0
2005.0,2.0,2.0,61.0,2.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1321.0,900.0
2005.0,1.0,1.0,62.0,3.0,2.0,5.0,1.0,3.0,0.0,2.0,4250.0,45.0,1157.0,4250.0
2005.0,1.0,1.0,64.0,4.0,2.0,6.0,1.0,2.0,0.0,0.0,5000.0,48.0,1194.0,5316.0
2005.0,1.0,1.0,30.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,1500.0,112.0,1658.0,2600.0
2005.0,2.0,2.0,27.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,2200.0,50.0,1658.0,2600.0
2005.0,1.0,2.0,51.0,5.0,4.0,4.0,1.0,3.0,0.0,2.0,500.0,40.0,1187.0,500.0
2005.0,1.0,1.0,82.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1394.0,325.0
2005.0,2.0,2.0,84.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,1394.0,325.0
2005.0,1.0,1.0,22.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,600.0,23.0,2514.0,180.0
2005.0,2.0,2.0,28.0,1.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,2514.0,180.0
2005.0,3.0,1.0,4.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,2514.0,180.0
2005.0,3.0,2.0,0.0,5.0,4.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,2514.0,180.0
