ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1244.0,1.0,69.0,3.0,2.0,6.0,1.0,0.0,4080.0,1.0,0.0,3500.0,2.0,2.0
2005,1244.0,2.0,46.0,5.0,1.0,4.0,1.0,0.0,360.0,3.0,1.0,360.0,2.0,
2005,991.0,1.0,34.0,2.0,1.0,4.0,1.0,0.0,1447.5,3.0,1.0,830.0,2.0,
2005,991.0,2.0,36.0,2.0,1.0,6.0,1.0,0.0,1447.5,3.0,1.0,700.0,1.0,9.0
2005,1225.0,1.0,69.0,2.0,12.0,4.0,3.0,1.0,1160.0,0.0,0.0,0.0,,
2005,1225.0,2.0,64.0,2.0,12.0,3.0,3.0,1.0,1160.0,0.0,0.0,0.0,,
2005,1094.0,2.0,37.0,2.0,2.0,6.0,1.0,0.0,1800.0,2.0,0.0,3000.0,2.0,1.0
2005,1094.0,1.0,38.0,2.0,2.0,6.0,1.0,0.0,1800.0,3.0,2.0,600.0,2.0,
2005,888.0,2.0,47.0,3.0,1.0,4.0,1.0,0.0,400.0,3.0,1.0,1200.0,1.0,9.0
2005,888.0,1.0,24.0,5.0,4.0,6.0,2.0,0.0,400.0,3.0,0.0,0.0,,
2005,888.0,1.0,22.0,5.0,4.0,4.0,2.0,0.0,400.0,3.0,0.0,0.0,,
2005,1097.0,1.0,33.0,2.0,1.0,6.0,1.0,0.0,878.3333333333334,2.0,0.0,1000.0,2.0,6.0
2005,1097.0,2.0,34.0,2.0,1.0,6.0,1.0,0.0,878.3333333333334,3.0,1.0,1600.0,2.0,9.0
2005,1097.0,2.0,3.0,5.0,1.0,7.0,4.0,5.0,878.3333333333334,0.0,0.0,0.0,,
2005,1373.0,1.0,44.0,2.0,1.0,6.0,1.0,0.0,362.5,3.0,1.0,700.0,1.0,
2005,1373.0,2.0,41.0,2.0,1.0,6.0,1.0,0.0,362.5,3.0,1.0,750.0,1.0,
2005,1373.0,1.0,8.0,5.0,1.0,1.0,4.0,3.0,362.5,0.0,0.0,0.0,,
2005,1373.0,2.0,3.0,5.0,1.0,7.0,4.0,5.0,362.5,0.0,0.0,0.0,,
2005,1346.0,2.0,82.0,4.0,1.0,1.0,3.0,1.0,440.0,0.0,0.0,0.0,,
2005,1452.0,1.0,75.0,2.0,1.0,2.0,3.0,1.0,297.5,0.0,0.0,0.0,,
2005,1452.0,2.0,64.0,2.0,1.0,2.0,3.0,1.0,297.5,0.0,0.0,0.0,,
2005,1529.0,2.0,85.0,5.0,1.0,2.0,3.0,1.0,330.0,0.0,0.0,0.0,,
2005,1233.0,1.0,38.0,2.0,1.0,5.0,1.0,0.0,500.0,3.0,1.0,1200.0,2.0,2.0
2005,1233.0,2.0,39.0,2.0,1.0,6.0,1.0,0.0,500.0,3.0,1.0,300.0,2.0,7.0
2005,1233.0,2.0,6.0,5.0,1.0,1.0,4.0,3.0,500.0,0.0,0.0,0.0,,
2005,1316.0,2.0,72.0,5.0,1.0,2.0,3.0,1.0,336.0,0.0,0.0,0.0,,
2005,1488.0,1.0,83.0,2.0,1.0,5.0,3.0,1.0,1740.0,0.0,0.0,0.0,,
2005,1488.0,2.0,82.0,2.0,1.0,6.0,3.0,1.0,1740.0,0.0,0.0,0.0,,
2005,1298.0,1.0,65.0,2.0,1.0,5.0,1.0,0.0,566.6666666666666,3.0,1.0,600.0,1.0,10.0
2005,1298.0,2.0,59.0,2.0,1.0,4.0,3.0,4.0,566.6666666666666,0.0,0.0,0.0,,
2005,1298.0,1.0,33.0,5.0,1.0,6.0,1.0,0.0,566.6666666666666,3.0,1.0,1100.0,1.0,12.0
2005,1074.0,2.0,29.0,5.0,1.0,4.0,2.0,0.0,170.0,3.0,0.0,0.0,,
2005,1223.0,1.0,64.0,1.0,1.0,4.0,1.0,0.0,1275.0,3.0,1.0,900.0,2.0,
2005,1223.0,2.0,55.0,1.0,2.0,2.0,1.0,0.0,1275.0,3.0,1.0,800.0,2.0,9.0
2005,1241.0,1.0,56.0,3.0,1.0,1.0,1.0,0.0,1050.0,3.0,1.0,850.0,2.0,1.0
2005,1321.0,1.0,64.0,2.0,4.0,4.0,1.0,0.0,900.0,3.0,1.0,1200.0,2.0,6.0
2005,1321.0,2.0,61.0,2.0,4.0,4.0,3.0,4.0,900.0,0.0,0.0,0.0,,
2005,1157.0,1.0,62.0,3.0,2.0,5.0,1.0,0.0,4250.0,3.0,2.0,4250.0,2.0,10.0
2005,1194.0,1.0,64.0,4.0,2.0,6.0,1.0,0.0,5316.0,2.0,0.0,5000.0,2.0,1.0
2005,1658.0,1.0,30.0,1.0,1.0,5.0,1.0,0.0,2600.0,2.0,0.0,1500.0,2.0,1.0
2005,1658.0,2.0,27.0,1.0,1.0,5.0,1.0,0.0,2600.0,3.0,1.0,2200.0,2.0,12.0
